,id,name,symbol,slug,num_market_pairs,date_added,tags,max_supply,circulating_supply,total_supply,infinite_supply,platform,cmc_rank,self_reported_circulating_supply,self_reported_market_cap,tvl_ratio,last_updated,quote.USD.price,quote.USD.volume_24h,quote.USD.volume_change_24h,quote.USD.percent_change_1h,quote.USD.percent_change_24h,quote.USD.percent_change_7d,quote.USD.percent_change_30d,quote.USD.percent_change_60d,quote.USD.percent_change_90d,quote.USD.market_cap,quote.USD.market_cap_dominance,quote.USD.fully_diluted_market_cap,quote.USD.tvl,quote.USD.last_updated,platform.id,platform.name,platform.symbol,platform.slug,platform.token_address,timestamp
5,3408,USDC,USDC,usd-coin,21863,2018-10-08T00:00:00.000Z,"['medium-of-exchange', 'stablecoin', 'asset-backed-stablecoin', 'coinbase-ventures-portfolio', 'solana-ecosystem', 'hedera-hashgraph-ecosystem', 'arbitrum-ecosytem', 'moonriver-ecosystem', 'bnb-chain', 'usd-stablecoin', 'optimism-ecosystem', 'base-ecosystem', 'fiat-stablecoin']",,34819293148.1864,34819293148.1864,False,,6,,,,2024-09-06T18:14:00.000Z,1.0000674357695456,8621292036.89899,56.9718,0.01675711,0.01841453,0.02049221,0.02342703,0.00098507,0.00512266,34821641214.014885,1.8316,34821641214.01,,2024-09-06T18:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0xa0b86991c6218b36c1d19d4a2e9eb0ce3606eb48,2024-09-06 15:16:40.196335
6,52,XRP,XRP,xrp,1374,2013-08-04T00:00:00.000Z,"['medium-of-exchange', 'enterprise-solutions', 'arrington-xrp-capital-portfolio', 'galaxy-digital-portfolio', 'a16z-portfolio', 'pantera-capital-portfolio', 'ftx-bankruptcy-estate']",100000000000.0,56251561168.0,99987294444.0,False,,7,,,,2024-09-06T18:15:00.000Z,0.5200405045153855,1264080661.9547782,43.5685,0.07776604,-4.71852958,-6.65277358,3.37938592,21.41377842,5.06647509,29253090249.58479,1.5385,52004050451.54,,2024-09-06T18:15:00.000Z,,,,,,2024-09-06 15:16:40.196335
7,74,Dogecoin,DOGE,dogecoin,1053,2013-12-15T00:00:00.000Z,"['mineable', 'pow', 'scrypt', 'medium-of-exchange', 'memes', 'payments', 'doggone-doggerel', 'bnb-chain', 'ftx-bankruptcy-estate']",,145846886383.7052,145846886383.7052,True,,8,,,,2024-09-06T18:15:00.000Z,0.09181709943029738,663614989.1064049,51.098,-0.25412039,-7.26406906,-7.54428166,-5.54592652,-13.93726593,-37.4672201,13391238068.691946,0.7043,13391238068.69,,2024-09-06T18:15:00.000Z,,,,,,2024-09-06 15:16:40.196335
8,1958,TRON,TRX,tron,1022,2017-09-13T00:00:00.000Z,"['media', 'payments', 'tron-ecosystem', 'layer-1', 'dwf-labs-portfolio', 'sec-security-token', 'alleged-sec-securities']",,86735444091.7308,86735472069.74533,True,,9,71659659264.0,10608385012.402983,,2024-09-06T18:14:00.000Z,0.14803845177829875,329453880.0519393,8.0079,-0.02976357,-1.48684414,-7.4109887,18.93610159,17.98302806,29.19779685,12840180857.643017,0.6754,12840184999.46,,2024-09-06T18:14:00.000Z,,,,,,2024-09-06 15:16:40.196335
9,11419,Toncoin,TON,toncoin,546,2021-08-26T13:40:22.000Z,"['pos', 'layer-1', 'ftx-bankruptcy-estate', 'dwf-labs-portfolio', 'toncoin-ecosystem']",,2532674563.17686,5111494132.525056,True,,10,3414166606.0,16170583882.654217,,2024-09-06T18:14:00.000Z,4.736319503048358,429674360.95784396,74.1199,0.17593193,1.17366224,-10.61682787,-12.30415452,-34.01961202,-33.59632413,11995555928.449041,0.6308,24209669349.6,,2024-09-06T18:14:00.000Z,,,,,,2024-09-06 15:16:40.196335
10,2010,Cardano,ADA,cardano,1240,2017-10-01T00:00:00.000Z,"['dpos', 'pos', 'platform', 'research', 'smart-contracts', 'staking', 'cardano-ecosystem', 'cardano', 'layer-1', 'sec-security-token', 'alleged-sec-securities']",45000000000.0,35960643044.11,37170426657.961,False,,11,,,,2024-09-06T18:14:00.000Z,0.31497975444750975,305072447.89447266,4.1136,-0.07365184,-4.04299856,-8.24674296,-2.05879789,-13.53659248,-27.80342207,11326874515.808317,0.5958,14174088950.14,,2024-09-06T18:14:00.000Z,,,,,,2024-09-06 15:16:40.196335
11,5805,Avalanche,AVAX,avalanche,771,2020-07-13T00:00:00.000Z,"['defi', 'smart-contracts', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'avalanche-ecosystem', 'cms-holdings-portfolio', 'dragonfly-capital-portfolio', 'real-world-assets', 'layer-1']",715748719.0,405216158.39607537,445219258.39607537,False,,12,,,,2024-09-06T18:14:00.000Z,21.098333125268173,264564687.10320157,68.9766,0.03608481,-2.73186637,-7.55429072,4.18326372,-18.36336164,-35.33708883,8549385497.581832,0.4497,15101104907.45,,2024-09-06T18:14:00.000Z,,,,,,2024-09-06 15:16:40.196335
12,5994,Shiba Inu,SHIB,shiba-inu,864,2020-08-01T00:00:00.000Z,"['memes', 'ethereum-ecosystem', 'doggone-doggerel']",,589269576982993.9,589518461624500.2,False,,13,,,,2024-09-06T18:14:00.000Z,1.2748274353387884e-05,179802392.5802372,16.7888,-0.4940532,-3.73000909,-7.43360102,-2.66488528,-21.25571953,-45.56984524,7512170235.484028,0.395,7515343085.18,,2024-09-06T18:14:00.000Z,1027.0,Ethereum,ETH,ethereum,0x95ad61b0a150d79219dcf64e1e6cc01f0b64c4ce,2024-09-06 15:16:40.196335
13,6636,Polkadot,DOT,polkadot-new,806,2020-08-19T00:00:00.000Z,"['substrate', 'polkadot', 'polkadot-ecosystem', 'three-arrows-capital-portfolio', 'polychain-capital-portfolio', 'arrington-xrp-capital-portfolio', 'blockchain-capital-portfolio', 'boostvc-portfolio', 'cms-holdings-portfolio', 'coinfund-portfolio', 'fabric-ventures-portfolio', 'fenbushi-capital-portfolio', 'hashkey-capital-portfolio', 'kenetic-capital-portfolio', '1confirmation-portfolio', 'placeholder-ventures-portfolio', 'pantera-capital-portfolio', 'exnetwork-capital-portfolio', 'web3', 'spartan-group', 'layer-1']",,1490372882.956488,1490372882.956488,True,,14,1490367434.9480152,5912887701.252405,,2024-09-06T18:14:00.000Z,3.9674026435357868,106266629.35562865,19.5081,-0.25481653,-1.50104366,-5.67700044,-12.91792312,-33.64516824,-38.73207275,5912909315.6956215,0.311,5912909315.7,,2024-09-06T18:14:00.000Z,,,,,,2024-09-06 15:16:40.196335
14,1831,Bitcoin Cash,BCH,bitcoin-cash,917,2017-07-23T00:00:00.000Z,"['mineable', 'pow', 'sha-256', 'marketplace', 'medium-of-exchange', 'store-of-value', 'enterprise-solutions', 'payments', 'bitcoin-ecosystem', 'layer-1']",21000000.0,19757165.625,19757165.625,False,,15,,,,2024-09-06T18:14:00.000Z,298.5211531213541,175854587.11249575,24.9801,-0.69819325,-2.82203912,-7.41471426,-4.78064081,-9.53150434,-36.77076154,5897931864.784578,0.3102,6268944215.55,,2024-09-06T18:14:00.000Z,,,,,,2024-09-06 15:16:40.196335
